brand,display_brand,display_owner,display_owner_country
Merlin Entertainments,,KIRKBI / Blackstone / CPPIB,
Kahoot,,Goldman Sachs-led consortium,
mobile.de,,Permira-Blackstone-led consortium,United Kingdom / USA
Philips Domestic Appliances,Versuni,,
Leboncoin Auto,,Permira-Blackstone-led consortium,United Kingdom / USA
Coches.net,,Permira-Blackstone-led consortium,United Kingdom / USA
Milanuncios Motor,,Permira-Blackstone-led consortium,United Kingdom / USA
Subito Motori,,Permira-Blackstone-led consortium,United Kingdom / USA
Marktplaats Auto,,Permira-Blackstone-led consortium,United Kingdom / USA
2dehands,,Permira-Blackstone-led consortium,United Kingdom / USA
La Centrale,,Providence Equity Partners,USA
willhaben Auto,,Styria / Sprints Capital,Austria / Sweden
Otomoto,,OLX Group / Prosus,Netherlands
Autovit.ro,,OLX Group / Prosus,Netherlands
